Sno,User,Rating,Review
25,Lamia Hasan,1,"This app was pretty good since its last update, i have read others review also who are facing the same problem. I use it for educatoinal purpose so it is the most used app of mine. I use it in desktop also which is currently not working after update. I don' t know do the developer company really read these reviews or not, but I really don' t prefer this type of bizarre update, which causes silly problem\U0001f611"
26,Lisa McCauley,1,The WhatsApp signal is SHOCKING. I am unable to have a conversation for longer than 2 minutes without the person who I'm talking to being unable to hear me . I have been to my service provider . Done a sim swap . Restarted my phone and updated the app . All at my time and expense . It's usually brilliant . Please rectify this problem .
27,Mian Waqar khalil,1,"I am using samsung galaxyA21S device with all updated version of android and WhatsApp. I am facing an issue in viewing status.  Gernally, when we are viewing someone's stories, on taping screen the next story  opens and when we slide down the story menu get close. But here I am facing an issue, When I slide down on screen, instead of closing of stories, the next story automatically run. This is very disturbing thing.  Please make it perfect"
28,Ashish Choudhari,4,The app is best no objection But I want to use it on multiple phones because of my work and this should happen by a code type. A particular priority first phone should have real app account and other is like we should enter a password and first we should give the permission frm one phone and we can see how many places the same account is active so it can be the whole privacy .
29,Mouli Chandar Pandurangan,1,I'm not getting any notifications from the app after changing my phone.. Mine is a new android phone (android 10). After switching the phone I'm not able to create notifications with sound or with popup.. I tried all the settings in my phone and couldn't do anything. The notifications options itself is not working in the app. Help me to get the notifications.
30,Jana Ahmed,3,It is an good app i always use it for everything but sometimes if i left the massage for allot of time it tells me to ask the sender to resend it!! Plus that we cant call( just like a shape) ! And adding to this when i hear the voice massages it sometimes close the mobile and stop and when i try to open it again it does the same ! Please fix these problems.
31,Will Iam,1,"This is the most hororble update ever, @ the middle of message writing it will shut down automatically, every time i have to repeat my message writing up to 5-10times after i can send my message to the recipients. I tried uninstall&install the whatsapp, but the issue is still there. Even 1 star rating is not deserve for this useless new update, it is not helpful for us whatsapp user. But no choice, otherwise this comment couldn't send without hitting the star rating. Please fix this immediately."
32,Zo\xeb Visser,1,"Since I updated WhatsApp a few days ago, while scrolling it freezes. Eg. When checking who viewed your status, you can scroll freely then suddenly you can't scroll up or down. This also happens with the camera when you want to swipe up to see other images in your gallery. And sometimes when watching a video on someone's status, it won't let you pause by ""tapping and holding"" the screen. As soon as you do, it skips the video. As you can imagine this is incredibly frustrating."
33,Miriam Hernandez-Rivero,2,"Sometimes (often) I don't get notifications until I open the app. Also (not a complaint just my opinion)I wish the delete message would disappear I don't know why ppl enjoy sending something and delete it, at least make an option like the ""last sern"" you can have it or not"
34,Ji Josie,1,It says my phone has problem with time zone and forced me to adjust it. I did so in setting but not work at all. I uninstall the app and re download again hope it would solve the problem however sadly this time they got me frustrated more. I can't receive verification code and gradually they limit me to resend code or call to verify up to 17 hrs\uff01\uff01
35,Annabel Grace,3,Can you make some updates which are more user friendly and current?  For example: It would be really great if you could add a feature to switch notifications off - on slack they have don't disturb option.  The message has been delivered and then the person will respond when less busy or available?
36,yones E,3,"You're just rolling out new updates every time but nothing changes. You really need to change and improve some features. For instance, if I delete my account, nothing happens to my previous messages on my contacts' WhatsApp account. They won't see that I've deleted my account and they may message me. Also, DO NOT use Google to store the messages, we really need to store every single message on WhatsApp itself. One of my friends, Majid, has suggested the idea."
37,Alexandru-Eusebiu Biolete,2,"Pretty hideous app, not gonna lie. The design is basically the same since the first release with very small improvements over the years. I don't really understand the business strategy behind it. They were trying to implement ads, but for the moment they've abandoned this, leaving that useless status feature. Unless they wanted that metadata, most likely it was bought just to adopt its technologies in Facebook's other products. I'm using it just because I have to, since most people are on it."
38,Aliens Vlog,2,Hey WhatsApp... You need to improve your interface. When we bring our phone to ear to hear the voice message the call buttons getting activated and its making calls. I think you need to think about this and make some changes in your user interface. By the way I am not using WhatsApp nowadays that much and was thinking to delete my account too.
39,Harsh Rathore,3,"It is a very useful app, but the only problem in this app is that the storage path can not be changed from internal storage to sd card as this app is covering large storage space of your internal storage (that is very limited) I request the developers to please set an option to set the default storage path to sd card in the future updates. Hope that developers will take care of this and will respond to me..."
40,David Figo,3,"What's happening to this app recently, when you want to make video calls and voice calls, it very slow to connect even when you have a good network connection, secondly when you post videos on status the video is more faster than the voice by making the clip looks funny when viewing, please admin should work on this issues. Thanks"
41,Ch. Rashmi Rekha Patro,5,"I am happy with the app. I would like to suggest something. During video calls, it's difficult to control babies. With excitement, they tap anywhere on the screen. So please give a child lock button as available in many video players so that tapping anywhere on the screen becomes dysfunctional until unlocked. Hope you consider this."
42,Sitanshu Mondal,4,Good app. Need to add more features. Add 'proxy settings' option for any types of internet connection. Add 'mobile number hide' option. Add 'edit' option for status as well as messages. Add 'add account' feature so that more than one account can be used in one device. This is very much important. Add atleast 3 customised status privacy option so that I can change status privacy immediately.
43,Islam 360,4,"Although seems good , but I request the administrator to update the app again . And in this update , we can easily edit the chat and we should also enlarge the size of the text or small it . And there should be a polling system on WhatsApp group . Cause I have a kind of group that involves polling . These are the few new functions that should be added to WhatsApp , So that whatsapp can work properly . Waiting for the new update soon . ""Thanks for the time"""
44,Derek Davies,2,"The status update has a bug. It demands access to the camera to be able to add a status update. If you deny it, you are not allowed to the next stage. Even though the next step is to take a photo OR choose one from your gallery. No camera access is required to load images from the gallery. The permission should be asked for only when you choose to take a photo."
45,Melinas World,5,"Amazing! You can text your friends or family, send voice chat, call or FaceTime them. No scam at all. I also like how you can upload a status and check who called. I've been using it for 2 years and it's great. I also love how you can block or send emojis or change the background and your profile pic. Your info is also private! THIS IS AMAZING!!!!!!!"
46,Bhavesh Shah,3,"After update when using share option it only shows individual and Group details, doesn't show broadcasts created. So now after update if i have multiple broadcasts created then can't share anything as broadcast doesn't reflect in the sharing list and need to share individually gettinf into each and every broadcast. Too much annoying. Please look into it."
47,Ashok Kr,1,"Writting here as there is no option to send massage (problem) to app developer. Dear Whatsapp Team, I often use whatsapp, mean whenever someone sends message in 15 to 30 days. So usually I restrict mobile data as your app consume data automatically approx 50-70 MB, even not in use. But what I found that your app automatically starts mobile data next day in my device setting and starts consuming data, that means it disturb or overwrite my device system or setting. Please resolve."
48,exaverio dafa,1,Im realizing im not the only one facing problems with the new version of whatsApp. Frozen screens and blank black screens. Cant finish typing a message before it kicks you out. Whats going on and are you going to fix this annoying feature and how soon. This is my second day of endless frustrations and its deeply annoying.
49,Kashif Naeem,1,The pop-up messages are disabled and cannot be enabled. They say that your android version does not support it. I have the latest version of Android i.e. 10 but it is still saying your version of Android does not support pop-up notification. I am really tired of this issue. Do something about it.
50,Zoey Burrell,2,Had the app for years and loved it but since the update it no longer notifies me when I have messages. It says in the app settings that my device is no longer eligible for that service. It's a samsung galaxy A10!!! Not eligible. Annoying as I depend on it alot as my network signal is bad and therefore do most of my communication through the internet. Nothing wrong with my phone but now have to buy a new one because the developers have decided to fold over the ones who cant afford \xa3200 phones.
51,Nickalos Daley,4,Whatsapp is awesome but we all are having this one huge problem... Whenever we post a status the quality literally vanishes! Like you post a nice picture with good quality but when its uploaded all that good quality is gone please can you do something about this... 🙏💯 Would be greatly appreciated.
52,jean linedo Delpe,5,That was great. I manage to stay in contact with all my friends thanks to thus app. I think ou is good to have such as everywhere and everyone must download it. It is easier to stay in touch with friend using such app.
53,Akash Reddy,4,"Hello! one small inconvinence is, when i uninstall and install the app. backing up chats work 2 ways, 1. From google drive 2. From copied backupfiles and images, vids. from old mobile to this one. To backup from offline internal storage, you first have to remove the google account and then sign in into the newly installed wattsapp. otherwise, it directly goes into downloading backup from google drive instead( instead of even bothering to check in offline files). Fix! it! Give me a choicethen"
54,Heliodor No.1,4,"This app is great but, WHY IS THERE A TIME LIMIT FOR WHAT YOU CAN DELET! This is really good and it is great for talking to friends and family but when I have a message I only just regret sending I can't delet it, there is a way to delet old messages, but the hack doesn't work on my phone. There is one more thing, why is there a delet for me, cause when I delet something for me by accident, it is impossible to recover unless you do this extremely complicated algorithm."
55,G MAHESWARAPPA,1,Very good messenger application. But there are some serious issues. Mainly the received photos images will display well for some days. Later they are not accessible. Only a blurred image is shown. This is a major high priority issue. Many important needed photos are getting missed because of this bug. Requesting for the best solution or a workaround soon.
56,Tris Bruce,2,"I can no longer send long messages on my Samsung Galaxy S mini because after just one or two lines of text the screen freezes and then closes, cancelling everything I have just written. It's extremely annoying. Now I am forced to write short phrases and quickly send them before the screen-freeze. Please take us back to the previous version, which worked OK."
57,Entertainment Desk Dbs Asaba,1,"This should have been a perfect app. However, the fingerprint privacy option can leave a user locked out on their own device. Once fingerprints have failed (as they often do), there are no options for a user to use a code to open back this app . Even if it was the verification code . Its frustrating how the app continuously has amnesia for my own fingerprint after a while . Compelling me to uninstall and reinstall the app every now and again ."
58,Tam Vo,1,"WhatsApp have always worked fine. Just now that the voice record function is being increasingly used by my contacts and Whatsapp still haven't fixed the too low volume issue when recording, it is getting annoying to use WhatsApp. If you have a function available in your application, then ensure you test it and make it work properly. I have Android Oxygen 10, so it shouldn't be a problem for my phone."
59,Nej Gnol,1,"Exepriencing serious issues with the lastest update on the Google Pixel 2, the microphone/speaker no longer works correctly. I cannot hear the other person on calls and the other person cannot hear me. This I am unable to place voice calls, video calls and also sending voice notes. When playing received voice notes, the message plays for 3 seconds and freezes for 6 and so it goes for the whole message."
60,fitzroy davis,1,"Ever since they updated in September I'm having problems especially when I'm typing a message, the screen freezes and then disappear and comes back again at that point I have to start the message all over again. I used to love whatsapp but now it really gets on my nerves! Hopefully you'll be able to fix it very soon! !!"
61,Ezra Gaming,4,"Actually, I use WhatsApp and I just want to suggest a new feature: There should be themes for chat bubbles so it looks more attractive and there should be More themes rather than dark and light,, There should be themes so you could control the brightness of dark and light theme, And there can be added color themes also, If possible\u0964\u0964 And thanks for working hard in WhatsApp and A huge like to all the members."
62,Annalisa Llinares,1,"What the f%*k is going on?? I updated the app on my Android phone about 3 days before the previous version expired. Since then I've had endless notifications that the app was out of date. Tried to update again but it sat ""waiting for download"" for about 2 hours. I uninstalled and then tried to reinstall but nothing's happening. It's still not getting past ""waiting for download"". Please respond. I need this to video call my mother overseas and had no issues with the last version. Not happy!"
63,Cosmas Thenya,1,Just got my phone fixed and was setting up my account when I realized that my offline backup is now useless. I switch phones regularly and I've never had this problem before. Why can't I restore my messages from my offline backup like before?
64,Harsh Chordia,4,Very bad experience after the last update... Frame drops are common I can not use whatsapp for more than 20 sec . I used to love the app the kind of free message and video by now useless app. I hope facebook solve the problem quickly!!!!!!!
65,Infotechz,1,"Yup, this is the most... WORST messenger app ever I can say. Reason? My friend looted into my phone number in his whatsapp, I was not able to log in again in my whatsapp using my number. When he logged out, and when I logged in, my all chats, messages were DELETED. Why is that? All my memories, all my work photos, all my class notes which used be sent online, DELETED. I backed up them a month ago, I tried to restore those messages, and, they still were absent. Please I say, don't install this."
66,Doreen Balwantsingh,3,This app was working great until the recently update...now if i am busy on the phone doing anything...i don't get incoming call notifications or message notifications... whenever i open the app i see miss call or message..Please help! Fix the problem...Thank you !!
67,Obadiah Lamshwa Lamare,3,"Since the latest update (I updated WhatsApp on 27th September 2020), there have been many problems. The App takes a long time to open, then there are times when the screen suddenly turns black, then there is that annoying 'Unfortunately WhatsApp has stopped' message. DEVELOPERS PLEASE DO SOMETHING ABOUT THIS. I SEE MANY PEOPLE EXPERIENCING THE SAME PROBLEMS!!! THANK you"
68,Marymagdalene Onome,1,This app has lost its vibe. It keeps shutting down on me. I can't video call or audio call without the app crashing. I keep losing the chats I spent minutes typing already prepared to send. This started when i first updated my whatsapp. I uninstalled and installed again. Nothing has changed. Please do something about it. It is really affecting everything I do.
69,Joshua adeyemo,4,"My upload to google drive settings is on weekly but it occurs daily, . It exhausts up my 70gb data earlier than it should. I had to change it to monthly to get some peace of mind and reasonable budget allocation on data subscription. But my backup is at risk.."
70,Its_ Galaxy_Sky,1,"Okay so im not the only one who is having a hard time using whatsapp after the latest update, I was using it normaly and then the screen went black and then whatsapp crashed, I barely use whatsapp! I can't see anybody's status, I can't put anything in my status because whatsapp is crashing all the time, I can't text my friends because when I text them thr screen goes black and then I have to redo my whole messagw again! Please fix this stupid bug or do something about it!"
71,Jose Rasta,2,I have used whatsapp for many years but this time am not happy with the new update. I used it For puting my video status in any minutes and hours but this time is very dissapointing because i can not add a video status which goes for more than 30 second pliz fix this very soon. It was my best app but i think it is going to be the worst if this things continue.
72,Jason Rodrigues,2,"It is annoying when people unnecessarily are sending you promotional messages over whatsapp. Add a feature with the following functions :- 1. An option to unsubscribe from a person's broadcast list. 2. If someone adds us in their broadcast list we must know the reason and have the choice to opt into it or not. Kindly, Do something with regard to the Broadcast feature. Everyone is promoting their products and business to people without their permission."
73,Taruna Hemnani,4,It's an excellent app!! Just two suggestions. 1] There are people who keep a check on our last seen and visit our walls multiple times a day. Can you please make a provision to see the number of times one has opened our walls. 2] Why don't we do this that the last seen which one sees of other person is actually the last time that person visited his wall. That'll be better. And just to add if only that person with whom we chat can see us online and rest all the respective last seens. Please reply
74,Harith Hilmi,5,Overall its good. I've been using it since 5 years back. But i think the time for higher quality for image at image and status has arrive(I'm using android and i don't know for ios). Maybe developer can make option for the users to choose either they want to use high quality image(with more internet used) or normal image. But overall its good. I'm appreciate your team good work. Thank you.
75,Vexx_ _X_,4,"This app is good! But, one thing that doesn't have in this app.... It doesn't have a security mode..... That's what make this app feel unsafe... I really want to give this app five star but since it doesn't have security mode.... I will give it only four star..... Good job! And one more thing. It's take a lot of space to load a video and a picture."
76,Prachi D,1,"New update of September sucks!! I have been using WhatsApp on Pixel2xl, with Android 11! And since the new update, the camera, has a lag like Samsung phones!! And weird glitch of keyboard on search of names, it crashes quite often. Please do something about this."
77,Murugan Manoharan,5,"The latest update on this app is not feeling little good. On the status page if we scroll down, the media playing, will get cancelled and goes to the status updates. But now, it skips into the next media, and sometimes the interface gots stucked. Please rework on it, and fix the issue. I don't know how many of you've noticed this problem from the recent update."
78,Inderaj Tech,5,It's a great app Just few things for which we have to choose others app. 1. Add more pin options because in today world we have so many unwanted group and contact. So if add more pin we can see our important msg on top. 2. When new members are added to group they can't see old messages. Add an update so that in group old messages are visible to new members. 3. Do something so that we can send big videos. Of any GB any length.
79,Gershon Forde,5,"Just a suggestion: I have noted that sometimes group members post spam or other inappropriate media in the group spaces. Can you add a feature that allows administrators to remove offensive posts from group chat threads? This would be helpful in the event that child pornography or fake news is posted to the platform. Also, Telegram seems to be outpacing this platform by adding nifty features to the application while WhatsApp seems...well stagnated."
80,Manena Chifupa,1,"Ever since I updated the latest version ,I can barely stay on whstsapp for more than two minutes without getting the ""unfortunately WhatsApp has stopped working, report or close"" message and it just goes off. I've tried everything I could possible try starting from reporting, rebooting,restarting, freeing up a whole chunk of my memory by deleting stuff, I tried uninstalling and reinstalling, nothing seems to work work and this has gone on for 2 days! It's so frustrating and inconveniencing\U0001f620"
81,Priya Natesh,1,"I could have rated this app 5 stars but I gave 1... The reasons are: Whatsapp crashes on my Android 4.4.4 phone almost every 1 minute, so I backed up my Whatsapp data and reset my whole phone and reinstalled it... I tried to restore my data back and from September 5th to september 30th data was not backed up and it is lost. Please improve..."
82,Dharmik Kabra,4,"I have one feed back thats please give us option inside whatsapp about which number we want to sync and which we dont, it happens many times that you want certain person phone number for professional purpose and you save it, but then they are added to your whatsapp and that is an issue, we have to mute their story and they add us to their broadcast list, request you to look into this"
83,Sathwik,1,"I don't know why my chat backup on google drive will be too slow sometimes even though I have 50Mbps connection. Only sometimes it will upload in full speed. I have googled on that issue, found that it might be problem with google or whatsapp servers."
84,DeadGazeS,1,"Wow. Half of the year passed and the bug I reported in march is still in the app. I don't get it. Fix it, it's annoying. In March it was on my s10e now it is on my s10 (europe version). Everytime I want to send a picture WhatsApp just rotates the picture(s) automatically. It's really annoying and u could have fixed it after 6 months. Just fix it, please."
85,Elona Hoxha,4,"It is a really nice app, I use it all the time, the only concern is that after you left a group chat 2 or more times, but you want to go back at that group a couple hours later, I'll have to wait like 1 day or more, other than that it is very good, hope that whatsapp listens to this and finds a way to fix this problem"
86,Victor Nwaneri,3,"There seems to be a serious deviation from the norm. WhatsApp now has issues with smooth working. During a call, assuming it is on speaker, as soon as the screen goes off the other party stops hearing you until you wake the screen up again. For long calls that is painful. On Video calls, if you receive a normal cell phone call this cuts out the volume and there is no option to pit the call on speaker save to cut the call and dial again. This is happening on Android 10 version 2.1"
87,preethi priya,1,From yesterday itself. I cannot upload any status . My internet connection is too good. Why this is like that I don't know. Any videos cannot upload to status. Kindly clear my issues. Otherwise I will delete the whatsapp. Nowadays WhatsApp is too bad. Not working properly. Waiting for your response. Already I posted one review but now it is not here. You guys are deleting my review right that I don't know. Clear my issues.
88,Corina Sierra,2,There so many kinks that need to be ironed out with the new update... 1. Poor quality of videos taken from phone camera and uploaded to status ... 2. The length of video only limited to 30s in status... 3. When I'm on video call and get a regular phone call...the volume on video call goes mute or very low... 4. Add a request button...have an option to accept or decline
89,Dolan Trump,1,"There has been some problem recently regarding the audio of voice and video calls from Samsung phones to iPhones. Audio couldn't be heard both in voice and video calls between my samsung phone and iphone of a friend. We have tried checking the app settings, clearing data and uninstalling and reinstalling the app. I could not find a soulution.Between androids, there is no problem. Kindly resolve and see to it sooner. Thank you."
90,Jasmanpreet Singh,1,Its a very nice app and I have used this app for 5 years ! But now since the last update I have been facing many problems with this app . When I chat with my friends suddenly the screen freezes and I come to the home page of the app and then again the screen freezes and I come the home screen of my phone . I request whatsapp to do something about this matter.
91,MASELOBE NTLATLANE,5,"WhatsApp has been a great messenger so far.. it had really helped me text everything that's text-able\U0001f31d. Thank you a lot. If it's not against your policy, can we get a feature that indicates when people have blocked us or not... as getting those 1 black tick it's such a turn off... and a bit misleading coz we aren't sure if it's network problems or maybe you're actually blocked. I don't know, because it's kindah confusing if we should try again texting them back or not. Thank you in advance."
92,Abhishek Abhi,5,I like this app. But you should keep a feedback option to understand your user experience and expectation. And you should also keep any mark to help the user to know that he is online. And also keep a option if the user wants others to know that he is online or not. I have a problem sometimes I can't see the person is online even he is online
93,aniruddha bhattacharyaa,5,Absolutely amazing experience. It's getting better day by day. Bring more amazing and astonishing versions of this app with amazing new features. Add on more and more amazing stuff so that it becomes the best messenger app of our generation. And also enhance it's existing features as well. Bring more and more features with advanced versions of everything that exists in this app.
94,Anthony Canham,1,My phone keeps on freezing and switches off whilst i am typing. It's really frustrating. Since the latest update my phone just go black and switches off. I can only type 2 to 3 words them the screen go black and back to the home page. It's very frustrating and so annoying. Please fix this problem urgently. It's really not nice to chat on whatsapp a more with this problem
95,Gacha- Netflix,2,"I really don't like the new version, when you do a group call, WhatsApp keeps muting my friends or me, whenever we talk. The voice messages need now even more time to load even tho my Wi-fi connection is perfectly fine. The camera is litterally not taking photos, I need to klick at least 4 times 'til it tales 1 picture. I miss the old version so badly!"
96,Akanksha Nidhi,2,"I don't know what the problem is with WhatsApp but after every 3 or 4 days all the chats of my account get lost and a message appears saying all the data got deleted, tap to restore. When I try to restore all the chats heads do appear but without any messages. Then I have to re install it 2 or 3 times before I get all of my messages back. Please update the app or do something about this issue."
97,Simile Mishra,2,"WhatsApp must add more privacy options in which one can hide their profile picture with particular contact they don't want to share their story, status or last seen. Or they can add option of directly texting new one on whatapp without saving their contact number. Because WhatsApp is used for so many purposes like sharing anything on WhatsApp other than mail and sometimes as being a girl we don't want to share our profile picture to anyone (vendor or unknown)."
98,Shae Garridigan,1,"It was working fine until the new update. I cant view anyones status without the screen going black and whatsapp exiting. The worst problem is that whenever i want to chat to someone the keyboard disapears, my phone freezes, the screen just goes black and then Whatsapp just exits. I have not been able to talk to anybody. Please fix this annoying bug. Thanks in advance."
99,Sadaqat Karim sk,5,What's app is very useful app for students. It connect students with their teachers and classmates which help the students to communicate with them and share there problems regarding education. It also have many other benefits but as a student I find the above benefit very furitful for learners. During this corona pendemic I used WhatsApp to connect with my teachers and continue my education. It all happened just because of this app. THANKS WHATSAPP!!!
100,Shivkumar B,3,"I backup my messages on WhatsApp monthly to Google drive. Since the last update the back up feature has been buggy. It always reaches 99% completion and then rolls back to a random number in the 60s although the notification popup still shows that 99% of the back up is done. I've tried clearing my cache, updating my android OS but nothing fixed the problem. I'm afraid to reinstall WhatsApp as my messages in the past month aren't backed up and I'm afraid I may lose them. Please fix this problem."
101,levins durai,2,Have lots of issues after the android 11 update. I can't get back from the status screen and can't send the message through the notification. I thought I sent that reply to that message but that was not sent to the receiver. When I open the app again then the app send my message to the respective guy \U0001f644... Like this have lots of problems on it. Please check your app with Android 11 support
102,Hanzala h,5,"Best social media platform which provide us personal chatting, sending multimedia ,video calling, audio calling, audio chatting and many more. It is widely use in India and is accepted all over the world. It is the best social media app I have ever used."
103,Abdulai Kamara,4,"WhatsApp is a very good and advanced app which aids better communication... But what am suggesting is for users to be able to select who would see their profile picture. Also, I suggest a room be created for more people for voice and video calls... Also, can the management or/and developers please find a way to increase the number of persons per group...??...This is important taking into consideration in the instances of School Groups, organizations and more... Thanks"
104,Shubham Rajput,1,Since the last update the app is not working well. The keyboard disappears and the screen goes black and the app exits by itself. If I was busy typing something it also disappears and then I must start again. And other times the app freezes. Please fix this problem! I see many people are complaining about the same problem!
105,Marian,2,"The groups chat are in the same panel with the persons chat. The status tab is useless and waste of space. I can't copy an part of the message. The call sound is worse and has some beeps in the background sometimes. Why needs to duplicate the contacts. No way to make to receive a invitation if someone adds you to a group. You can't even disable the Groups notification from android settings, keeps reactivating."
